legacy	rom
Ar$Ï	aṭlu
C…™èþÐèþ$…¨	iṁtamaṁdi
A…™èþÐèþ$…¨	aṁtamaṁdi
Mö…™èþÐèþ$…¨	koṁtamaṁdi
C¯èþ/Æÿ$$¯èþ/A	ina/yina/a
Ayæþ$Væü$™èþ$¯èþ²	aḍugutunna
AyìþW¯èþ	aḍigina
AyìþVóü	adigē
ÐðþâæýÏ°&Ðéâæý$å	veḷḷani-vāḷḷu
Mö©ª	koddī
GsêÏ	eṭlā
GsêÏ/GÌê	eṭlā/elā
çÜÇMìü	sariki
Ar$Ðèþ…sìý	aṭuvaṁṭi
Cr$Ðèþ…sìý	iṭuvaṁṭi
Gr$Ðèþ…sìý	eṭuvaṁṭi
E…¨/E¯èþ²¨	uṁdi/unnadi
ÌôýMæü´ùÆÿ$$…¨	lēkapōyiṁdi
¯ðþËË$	nelalu
Hâæý$Ï	ēḷḷu
sñýO…	ṭaiṁ
M>Ë…	kālaṁ
§æþË^èþ$Mø	dalacukō
Ìê	lā
ÑfÄæý$Ðèþ…™èþ…V>	vijayavaṁtaṁgā
A°	ani
ÐðþËÏyìþ…^èþ$	vellaḍiṁcu
Ayæþ$Væü$	aḍugu
Mìü/&Mæü$	ki/-ku
Ðèþ	va
BÆø	ārō
AÆæÿÐðþOÆø…yø	aravaireṁdō
Ðèþ§æþ$ª	vaddu
A…sôý	aṁṭē
^ðþÇ	ceri
Ý÷_a…¨	socciṁdi
™èþÌê	talā
Æ>âæý$å	rāḷḷu
Æ>†	rāti
AÐèþÐèþ*Ã	avammā
AÐèþÄæý*Å	avayyā
AÐøÄŒý$	avōy
AÐóþ	avē
AMæü´ùÐèþ^èþ$a	akapōvaccu
Arþ	aṭa
ÐóþË$	vēlu
ò³r$t	peṭṭu
MæüËÐèþ	kalava
MæüË$‹Ü	kalus
AMæü´ùÐèþr…	akapōvaṭaṁ
†¯èþMæü´ùÐèþr…	tinakapōvaṭaṁ
Æ>Mæü´ùÐèþr…	rākapōvaṭaṁ
^ðþç³µÐèþ$¯èþr…	ceppamanaṭaṁ
^ðþç³µÐèþ$¯èþMæü´ùÐèþr…	ceppamanakapōvaṭaṁ
§æþ$Ðèþ#V>°	duvugāni
Æÿ$$¯é	inā/-ā/-yinā
C¯é/&B/&Æÿ$$¯é	inā/-ā/-yinā
Æÿ$$¯é	yinā
C¯é	inā
A/&Æÿ$$¯èþ	ina/-a/-yina
^èþ*í³…^èþ$	cūpiṁcu
^èþ*í³…_¯èþ	cūpiṁcina
^èþ*í³…_¯é	cūpiṁcinā
™ðþÍÄŒý$	teliy
^èþ$	cu
§é^èþ$	dācu
™ø^èþ$	tōcu
¯øÆæÿ$	nōru
¯øsìý	nōṭi
¯øsìýMìü	nōṭiki
¯øsìý™ø	nōṭitō
Væü§é	gadā
^éÐèþ#	cāvu
™óþ	tē
^èþ‹Ü	cas
^èþ^Œþa	cacc
Ððþâæýå°Ðèþ#Ó	veḷḷanivvu
V>¯óþ	gānē
ç³#	pu
FVæü$	ūgu
…ç³#	ṁpu
…^èþ$	ṁcu
_¯èþ$Væü$	cinugu
™èþ$¯èþ$Væü$	tunugu
™èþ$…^èþ$	tuṁcu
Ðèþ$$¯èþ$Væü$	munugu
Ðèþ$$…^èþ$	muṁcu
™ðþ…ç³#	teṁpu
†Ææÿ$Væü$	tirugu
ÑÆæÿ$^Œþ	viruc
ÑÆæÿ$Væü$	virugu
Mæü§æþ$Ë$	kadulu
Mæü¨Í…^èþ$	kadiliṁcu
ÐðþÍW…^èþ$	veligiṁcu
GÆÿ$$Å	eyyi
Æÿ$$Å	yyi
C‹³	ip
^Œþ/^èþ$	c/cu
‹³	p
^óþ™èþ	cēta
¯é&^óþ™èþ	nā-cēta
ÆæÿÑ&^óþ™èþ	ravi-cēta
¯é	nā
Ìôý…yìþ	lēṁḍi
^èþ§æþ$Ðèþ#Mø	caduvukō
Ðèþ…yæþ$Mø	vaṁḍukō
Æ>çÜ$Mø	rāsukō
Æ>Æÿ$$…^èþ$Mø	rāyiṁcukō
^èþ§æþ$Ðèþ#Mæü$¯é²yæþ$	caduvukunnāḍu
^èþ§æþ$Ðèþ#Mæü$…sêÐèþ#	caduvukuṁṭāvu
C°²	inni
C°²…sìý	inniṁṭi
G°²…sìý	enniṁṭi
Mö°²…sìý	konniṁṭi
Mö°²…sìý&ÐèþËÏ	konniṁṭi-valla
G…þ	eṁ
Hþ	ē
Ë$þ	lu
A…þ	aṁ
H°þ	ēni
B°þ	āni
§é°§óþÐèþ$$…¨	dānidēmuṁdi
E…yóþ	uṁḍē
´ëyæþVæüËyæþ$	pāḍagalaḍu
´ëyæþÌôýyæþ$	pāḍalēḍu
VæüË$Væü$	galugu
ÌôýMæü´ù	lēkapō
Cí³µ…^èþ$	ippiṁcu
™ðþí³µ…^èþ$	teppicu
ºyæþ$þ	baḍu
ç³yæþ$þ	paḍu
^ðþÄæý$Å&ºyæþ$	ceyya-baḍu
¡Ææÿ$	tīru
™èþÐèþ$Ææÿ$	tamaru
™èþÐèþ$	tama
A¯èþMæü$…yé	anakuṁḍā
A¯èþÌôý§æþ$	analēdu
Ðèþ*sêÏyæþÌôý§æþ$	māṭlāḍalēdu
